Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,Marital Status,Children,Housing,Other Pets,NumPets,Gender,Specie,Chip,Sex,Race,Age,State,AnimalShelter
Animal,usuarionuevoprueba,España,Pontevedra,Vigo,32009,0,0,0,0,0,24,,,,,,,,,cat,no,unknow,siames,3,unknown,admin
AnimalShelter,James,Mexico,Palencia,Don Benito,40938,1052,142,39,871,1295,2,Técnico de sonido,Ingeniería Informatica,married,4,terraced house,,2,male,dog,unknown,intact_female,Alaskan malamute,4,unknown,animalshelter
AnimalShelter,Randall,Guatemala,Huesca,Aranjuez,59493,3820,1203,1585,1032,173,38,Enfermero,"Finanzas, banca y seguros",separated,2,loft,bunny,11,other,turtles,no,intact_male,Rusa,13,healthy,animalshelter
PublicationAdoption,Marshall,Cuba,Sevilla,Pontevedra,57644,2350,1911,215,224,1111,82,Carpintero,Bachillerato,separated,8,terraced house,dog,16,male,snake,no,intact_female,Pitón,3,vet,AnimalHelp
PublicationAdoption,Steven,Malta,Las Palmas de Gran Canaria,Jerez de la Frontera,98476,2115,1072,204,839,1128,72,Lechero,Psicología,,5,flat,bunny,18,female,hamster,yes,intact_male,Sirio,3,other,animalshelter
Animal,Loretta,Bolivia,Avila,Villarrobledo,52839,2243,516,802,925,449,50,Carpintero,Ingeniería Informatica,relationship,14,detached house,other,16,,turtles,,castrated_male,Rusa,7,dead,animalshelter
Animal,Irene,Alemania,Burgos,Santander,35697,4797,1910,1591,1296,1308,53,Arquitecto,"Negocios y administración, programas multidisciplinarios o generales",separated,10,attic,bunny,16,female,cat,,intact_female,Birmano,7,foster,animalshelter
Animal,Diane,Costa Rica,Formentera,Segovia,21420,2526,263,1702,561,1171,4,Geógrafo,Magisterio,,14,quadplex,other,8,male,turtles,yes,intact_male,Mapa,19,other,animalshelter
PublicationAdoption,Richard,Guinea Ecuatorial,Castellón,Pola de Siero,90847,2559,1147,283,1129,979,68,Archivólogo,ESO,relationship,0,attic,,10,female,bunny,unknown,intact_female,Toy,14,sick,animalshelter
Animal,Jay,Venezuela,La Palma,Carballo,60916,2843,649,212,1982,665,33,Geógrafo,Ciencias políticas,divorced,17,quadplex,turtles,12,nobinary,snake,unknown,neutered_female,Pitón,1,other,AnimalHelp
AnimalShelter,Xavier,Guinea Ecuatorial,Huelva,Las Palmas,53243,4244,1672,632,1940,1342,77,Computista,Ingeniería mecánica y metalurgia,separated,14,studio,several,9,nobinary,dog,,neutered_female,Boyero de Montaña Bernes,17,unknown,animalshelter
AnimalAdoption,Nancy,Ecuador,Mallorca,Almadén,58176,3025,280,1476,1269,1729,26,Cerrajero,Magisterio,separated,6,ground floor with garden,,10,female,hamster,,intact_male,Ruso enano,12,vet,animalshelter
Animal,Hazel,El Salvador,Guadalajara,,87732,3182,1305,526,1351,1250,35,Cerrajero,Bachillerato,divorced,12,loft,several,18,male,dog,,intact_male,Terrier irlandés (Irish terrier),20,sick,animalshelter
Pages,Deanna,India,Albacete,Vigo,68334,2782,472,1468,842,1363,62,Artesano,Sociología y antropología,single,4,studio,hamster,17,female,,,,,0,,
Pages,Rodney,Alemania,Cuenca,Canary Islands,61581,3586,1426,208,1952,191,11,Frutero,Psicología,married,16,duplex,,5,other,,,,,0,,
Pages,Toni,India,Zaragoza,Ecija,29108,5072,1690,1806,1576,1879,6,Enfermero,Magisterio,,16,studio,several,16,nobinary,,,,,0,,
AnimalAdoption,Thomas,Ecuador,Pontevedra,Ronda,39879,1864,214,1166,484,96,86,Químico,Magisterio,married,16,terraced house,cat,10,male,hamster,unknown,intact_female,Roborowski,3,vet,animalshelter
AnimalShelter,Matthew,El Salvador,Teruel,Cornellà,87668,2134,962,790,382,608,21,,"Negocios y administración, programas multidisciplinarios o generales",separated,0,terraced house,bunny,11,male,snake,unknown,neutered_female,Serpiente del maíz,16,unknown,animalshelter
Animal,Timothy,Francia,Valencia,Tineo,50131,2802,1821,641,340,1403,92,Periodista,Negocios y comercio,separated,16,triplex,several,11,,bunny,yes,intact_female,Rex,10,healthy,animalshelter
PublicationAdoption,Cedric,India,Huelva,Cantabria,98714,2723,752,1620,351,724,80,Electricista,Contabilidad y fiscalización,married,3,,dog,12,female,turtles,,castrated_male,Cumberland,13,foster,animalshelter
Animal,Joan,Guatemala,Ceuta,Tineo,21878,2285,1357,462,466,1157,88,Secretaria,Ciencias políticas,divorced,4,quadplex,snake,14,,other,no,castrated_male,Alvera,14,adopted,animalshelter
PublicationAdoption,Gloria,Guatemala,Gran Canaria,Aragon,80277,880,156,660,64,587,93,,Tecnología y protección del medio ambiente,married,11,duplex,,20,,snake,no,intact_female,Serpiente marrón oriental,16,adopted,animalshelter
AnimalShelter,Sarah,Bolivia,Ciudad Real,Salamanca,14822,4455,1316,1465,1674,489,49,Paleontólogo,Tecnologías de la información y comunicación,divorced,7,triplex,other,13,male,cat,,unknow,Persa,20,vet,animalshelter
Animal,Katrina,Republica Dominicana,Ibiza,Soria,58074,3097,1115,117,1865,1308,87,Bibliotecólogo,Bachillerato,,17,semi-detached house,cat,13,female,other,unknown,intact_male,Pedresa,14,healthy,animalshelter
AnimalShelter,Charline,Republica de Irlanda,Tenerife,Aranjuez,28279,3281,501,1239,1541,1772,0,Ingeniero,Negocios y comercio,divorced,9,attic,hamster,0,nobinary,cat,yes,intact_male,Ragdol,3,foster,animalshelter
Animal,David,Francia,Cantabria,Villarrobledo,31576,1920,346,15,1559,1453,19,Lechero,Trabajo y atención social,single,3,terraced house,turtles,1,female,dog,yes,castrated_male,English Toy Terrier,5,other,animalshelter
AnimalAdoption,Lawrence,España,Menorca,Lorca,49615,2788,10,1346,1432,874,74,Contador,"Negocios y administración, programas multidisciplinarios o generales",divorced,10,duplex,snake,1,,dog,unknown,intact_male,Labrador Retriever,3,dead,AnimalHelp
AnimalAdoption,Frances,Malta,La Palma,Melilla,70115,4932,1134,1880,1918,121,29,Carpintero,Psicología,,5,flat,snake,16,male,hamster,,unknow,Ruso enano,7,adopted,animalshelter
AnimalAdoption,Curt,Republica de Irlanda,Huelva,Valladolid,91272,2687,774,413,1500,1086,77,Computista,Criminología,divorced,19,duplex,hamster,15,other,cat,,neutered_female,Somali,4,healthy,animalshelter
AnimalShelter,Esther,Republica Dominicana,Ibiza,Palencia,91585,2439,144,482,1813,774,69,Bibliotecólogo,Contabilidad y fiscalización,single,7,duplex,bunny,1,female,cat,no,intact_male,Somali,6,foster,animalshelter
Animal,Steve,Chile,Ceuta,Lleida,48541,1484,1099,343,42,13,58,Cocinero,Ciencias políticas,separated,19,ground floor with garden,several,1,female,other,,intact_male,Betizu,11,unknown,animalshelter
PublicationAdoption,Kevin,Mexico,Málaga,Getxo,37475,3047,1241,677,1129,751,9,Paramédico,Economía,separated,12,apartment,dog,18,,cat,no,neutered_female,Somali,16,healthy,animalshelter
AnimalShelter,Gena,Reino Unido,Albacete,Córdoba,86882,2964,946,95,1923,383,30,Matemático,ESO,separated,17,attic,hamster,12,,other,,intact_male,Betizu,16,foster,AnimalHelp
PublicationAdoption,Christopher,Guinea Ecuatorial,Segovia,Badalona,66532,1916,1820,82,14,854,18,Botánico,"Finanzas, banca y seguros",separated,19,attic,cat,17,female,snake,,neutered_female,Culebra,12,dead,animalshelter
AnimalShelter,Milton,Singapur,Sevilla,Simancas,11118,3525,1989,59,1477,290,73,Matemático,Ingeniería química,married,0,ground floor with garden,turtles,2,nobinary,cat,,unknow,Manx,2,sick,animalshelter
AnimalShelter,Floyd,Republica Dominicana,Córdoba,Guadalajara,66380,2284,690,965,629,831,94,Filólogo,"Negocios y administración, programas multidisciplinarios o generales",,7,attic,,20,female,bunny,no,neutered_female,Toy,19,unknown,animalshelter
PublicationAdoption,Pamela,Costa Rica,La Rioja,Huelva,52512,4942,1472,1485,1985,600,31,Lavandero,Tecnologías de la información y comunicación,separated,2,bungalows,bunny,18,other,bunny,no,neutered_female,Tan,16,foster,animalshelter
AnimalShelter,Marvin,Francia,Guadalajara,Badajoz,45439,4702,1959,1581,1162,1127,81,Químico,Ciencias políticas,married,10,detached house,other,0,female,other,no,castrated_male,Pedresa,14,vet,animalshelter
Animal,Ronald,Nicaragua,Pontevedra,Ciudad Real,19501,2586,1394,1059,133,1976,45,Secretaria,Psicología,,19,semi-detached house,turtles,15,female,turtles,unknown,intact_male,Mapa,8,unknown,animalshelter
PublicationAdoption,Harriet,Guinea Ecuatorial,Girona,Zaragoza,42673,3795,606,1725,1464,1182,33,Artesano,Sociología y antropología,relationship,6,semi-detached house,bunny,9,,bunny,no,intact_male,Blanco de Hotot,20,adopted,animalshelter
Animal,Christopher,Republica Dominicana,Lérida,Vic,46517,1927,353,527,1047,1062,6,Contador,"Finanzas, banca y seguros",married,4,semi-detached house,turtles,11,other,turtles,unknown,castrated_male,Orejas rojas,4,unknown,animalshelter
PublicationAdoption,Chasity,Bolivia,El Hierro,Cangas de Narcea,67604,3875,1901,452,1522,207,1,Cerrajero,Derecho,relationship,1,duplex,several,11,male,turtles,unknown,neutered_female,Caja de florida,19,adopted,animalshelter
AnimalAdoption,Linda,Uruguay,Gran Canaria,Almadén,47569,2200,139,324,1737,0,53,,Magisterio,,2,flat,snake,1,male,turtles,no,neutered_female,Rusa,8,healthy,animalshelter
AnimalShelter,Kurt,España,Segovia,Irun,21544,1725,871,805,49,225,26,Abogado,Mercadotecnia y publicidad,divorced,4,studio,hamster,10,female,dog,,neutered_female,Otterhound,16,vet,animalshelter
Animal,Marci,India,Lanzarote,Cádiz,41143,1727,498,746,483,1163,34,Secretaria,Bachillerato,separated,18,quadplex,turtles,16,other,other,yes,intact_female,Alvera,3,other,animalshelter
AnimalAdoption,Luz,Honduras,Alicante,Getafe,99701,3920,1647,1504,769,1895,10,Arquitecto,Ingeniería Informatica,married,8,terraced house,,11,,snake,unknown,unknow,Mamba,16,adopted,animalshelter
AnimalAdoption,Phyllis,Costa Rica,Jaén,Jumilla,95028,2433,1355,976,102,1188,4,Botánico,Tecnologías de la información y comunicación,relationship,9,detached house,turtles,2,other,other,,intact_male,Pedresa,0,vet,animalshelter
AnimalShelter,Luis,Republica de Irlanda,Gran Canaria,Tortosa,35892,2400,1382,397,621,156,30,Farmacólogo,Contabilidad y fiscalización,relationship,0,,other,17,,bunny,yes,intact_female,Gigante de Flandes,14,adopted,animalshelter
Animal,Doris,Nicaragua,Soria,Jaén,55829,3839,1389,1228,1222,534,48,Historiador,Bellas artes,relationship,16,semi-detached house,dog,14,nobinary,bunny,no,neutered_female,English angora,11,healthy,animalshelter
AnimalAdoption,Margaret,El Salvador,Salamanca,Bilbao,93244,1791,1363,93,335,1377,1,Computista,Criminología,,9,detached house,dog,12,other,turtles,,intact_female,Mapa,5,unknown,animalshelter
Animal,Sherry,Chile,Guadalajara,Antequera,82750,3906,1073,1867,966,1052,22,Técnico de sonido,Administración y gestión de empresas,married,17,semi-detached house,bunny,15,nobinary,other,,neutered_female,Betizu,14,sick,animalshelter
AnimalAdoption,Lauren,Chile,Zaragoza,Yecla,59010,3629,903,2000,726,690,74,Politólogo,Administración y gestión de empresas,,18,,bunny,11,nobinary,hamster,,unknow,Ruso enano,8,unknown,animalshelter
PublicationAdoption,Lenora,Venezuela,Tarragona,Eibar,90561,2037,525,905,607,179,78,Químico,Tecnología y protección del medio ambiente,married,14,studio,other,1,male,turtles,no,unknow,Caja de florida,2,healthy,animalshelter
PublicationAdoption,Jerome,Bolivia,Cantabria,Badajoz,69430,4198,937,1905,1356,1998,55,Computista,Magisterio,married,2,detached house,several,10,,turtles,no,castrated_male,Pintada,0,healthy,animalshelter
Pages,Lawrence,Bolivia,Jaén,Tineo,35401,4015,861,1334,1820,448,1,Mecánico,Tecnologías de la información y comunicación,,6,ground floor,other,13,nobinary,,,,,0,,
Animal,Jonathan,Republica de Irlanda,Valencia,Pontevedra,57632,3139,748,1856,535,1354,48,Mecánico,Sociología y antropología,divorced,1,attic,snake,19,,hamster,unknown,neutered_female,Chino,2,foster,animalshelter
