Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,Marital Status,Children,Housing,Other Pets,NumPets,Gender,Specie,Chip,Sex,Race,Age,State,AnimalShelter
Animal,Wilma,Colombia,Avila,Valdepeñas,90221,3722,927,1133,1662,552,46,Secretaria,Administración y gestión de empresas,separated,13,ground floor with garden,,8,other,bunny,yes,intact_female,Cabeza de leon,11,sick, animalshelter
Pages,Michael,Paraguay,Granada,Ferrol,72840,4964,1770,1782,1412,1555,68,Paramédico,Bachillerato,single,1,,dog,0,nobinary,,,,,0,, 
AnimalShelter,Patrick,Argentina,Cantabria,Badalona,28993,4082,1487,1879,716,1652,4,Cerrajero,Negocios y comercio,,9,detached house,several,16,,turtles,no,neutered_female,Cumberland,10,healthy, animalshelter
PublicationAdoption,Louise,Chile,Navarra,Sabadell,36070,3530,1963,211,1356,512,93,Biólogo,Ingeniería Informatica,separated,17,apartment,snake,7,,turtles,unknown,unknow,Bosque,10,sick, animalshelter
Pages,Thomas,Ecuador,Gran Canaria,Vitoria-Gasteiz,23724,3229,1829,914,486,104,81,Computista,Bellas artes,relationship,7,detached house,,13,,,,,,0,, 
PublicationAdoption,Harriett,Cuba,Almería,Girona,48891,3294,1767,1473,54,833,27,Contador,Tecnología y protección del medio ambiente,relationship,13,triplex,hamster,20,female,bunny,no,neutered_female,English angora,15,unknown, animalshelter
Pages,David,Guatemala,Cuenca,Barakaldo,20048,2947,767,272,1908,1377,62,Geógrafo,Mercadotecnia y publicidad,,9,triplex,several,17,other,,,,,0,, 
PublicationAdoption,Richard,Nicaragua,Lugo,Tomelloso,84311,5124,1695,1454,1975,1986,16,Archivólogo,Ciencias políticas,separated,14,ground floor with garden,cat,15,female,dog,yes,intact_female,Bouvier des Flandres,2,other, animalshelter
AnimalAdoption,Margaret,Uruguay,Cádiz,Balearic Islands,18656,2526,1030,507,989,693,50,Ingeniero,Ingeniería química,single,19,triplex,cat,11,nobinary,turtles,yes,unknow,Cumberland,0,vet, animalshelter
AnimalAdoption,George,Mexico,Fuerteventura,San Ildefonso,80850,3841,2000,742,1099,882,21,Bibliotecólogo,"Negocios y administración, programas multidisciplinarios o generales",married,16,loft,hamster,20,nobinary,snake,unknown,intact_male,Cobra,19,vet, animalshelter
AnimalShelter,Ernest,Francia,Cádiz,Cartagena,99059,2130,1283,433,414,713,74,Abogado,Bachillerato,divorced,1,flat,turtles,16,female,snake,,castrated_male,Serpiente de Rata Negra,8,unknown, animalshelter
AnimalAdoption,Lori,Venezuela,Albacete,Monforte de Lemos,14660,1928,743,984,201,566,5,Computista,Trabajo y atención social,single,3,detached house,other,12,,snake,yes,intact_male,Anaconda,13,healthy, animalshelter
PublicationAdoption,Brian,Bolivia,La Gomera,Guernica,37786,3743,1963,670,1110,1046,25,Biólogo,Trabajo y atención social,relationship,18,,hamster,8,other,hamster,unknown,neutered_female,Chino,11,foster, animalshelter
AnimalAdoption,Earnestine,Chile,Soria,Ciudad Real,44142,2701,574,1487,640,113,95,Psicólogo,Ingeniería Informatica,married,7,studio,hamster,8,other,hamster,no,unknow,Enano de Campbell,20,sick, animalshelter
AnimalAdoption,Raymond,Francia,La Palma,Valladolid,42457,4344,641,1755,1948,1773,68,Artesano,Mercadotecnia y publicidad,divorced,0,triplex,cat,17,other,hamster,no,neutered_female,Sirio,8,sick, animalshelter
AnimalShelter,Twila,Argentina,Cádiz,Sabadell,59195,3217,644,1038,1535,547,42,Archivólogo,Ingeniería mecánica y metalurgia,,14,bungalows,other,5,other,snake,,intact_male,Boa,2,healthy, animalshelter
PublicationAdoption,Debbie,Uruguay,León,Las Palmas,35714,2611,707,120,1784,224,28,Cerrajero,Tecnología y protección del medio ambiente,single,7,attic,cat,15,,bunny,unknown,neutered_female,Cabeza de leon,15,dead, animalshelter
AnimalShelter,Catherine,Paraguay,Gran Canaria,A Coruña,86568,4657,949,1793,1915,952,34,Filólogo,Psicología,divorced,0,duplex,hamster,18,female,bunny,unknown,neutered_female,Cabeza de leon,13,healthy, animalshelter
PublicationAdoption,Steven,Chile,Orense,Puertollano,40476,1872,452,771,649,910,13,Botánico,Ingeniería química,separated,15,ground floor with garden,,7,male,dog,yes,intact_female,Irish soft coated wheaten terrier,11,foster, animalshelter
AnimalAdoption,Marcos,Alemania,La Rioja,Tarragona,24219,3178,195,1696,1287,548,83,Computista,Bellas artes,,13,duplex,cat,6,female,other,no,intact_male,Betizu,11,other, animalshelter
